Good,Bad
-28,-27.4375
-26.875,-37.125
-25.75,-56.3125
-24.875,-79.1875
-25.0625,-101.1875
-26.25,-120.9375
-28.1875,-137.8125
-30.6875,-151.75
-34.375,-162.9375
-40.4375,-174.125
-48.5625,-179.6875
-112.0625,-172.9375
-112.125,-154.625
-112.125,-125.75
-112.125,-91.1875
-112.125,-59.375
-112.125,-40
-112.125,-29.625
-112.125,-24.3125
-112.125,-24.625
-112.125,-28.375
-112.125,-34.25
-112.125,-44.6875
-112.125,-58.5625
-112.125,-74.8125
-112.125,-93
-112.125,-112.25
-112.125,-130.9375
-112.125,-150.375
-112.125,-171.6875
-112.125,175.3125
-112.125,177.875
-112.125,-168.375
-112.125,-147.0625
-112.125,-120.125
-112.125,-87.875
-112.0625,-58.375
-112,-39.1875
-112.1875,-27.25
-112.3125,-22.0625
-112.3125,-23
-112.3125,-28.875
-112.25,-40.3125
-112.1875,-56.875
-111.25,-77.3125
-107.125,-97.75
-97.9375,-116.25
-84.5625,-133.25
-68.1875,-148.9375
-52,-164.25
-40.125,-176.0625
-29.8125,-178.75
-21.5,-168.875
-16.25,-147.6875
-13.375,-119.375
-12.625,-87.0625
-14.75,-60.25
-19.1875,-40.75
-25.5,-29
-33.5,-22.125
-43.5625,-22.1875
-55.125,-28
-67.0625,-39.625
-78.1875,-57.5
-87.625,-78.125
-97.5,-99.375
-106.4375,-120.125
-111.4375,-139.0625
-108.3125,-157.1875
-99.8125,-174.25
-87.9375,176.75
-74.125,-177.8125
-59.625,-160.625
-47.5,-137.25
-36.1875,-111
-25.9375,-79.875
-17.9375,-51.75
-13.75,-33.6875
-13.25,-25.3125
-15.625,-21.8125
-20.5,-24.5625
-29.8125,-33.5
-43.5,-50.6875
-59.375,-73.8125
-74.1875,-99.125
-87.0625,-123.5
-98.1875,-144.6875
-108.3125,-160.625
-113.8125,-172.875
-113.3125,-179.5625
-112.875,-178.9375
-109.4375,-170.375
-103.4375,-154.0625
-93.6875,-131.125
-79.8125,-104.0625
-63.75,-72.0625
-48.8125,-45.1875
-36.75,-29.75
-26.5625,-22.3125
-19.5,-20.625
-15.0625,-24.5
-12.125,-31.6875
-9.5625,-43.9375
-8,-62.9375
-8.6875,-85.25
-11.3125,-104.875
-15.6875,-124.3125
-21.4375,-141.5625
-29.375,-160.0625
-38.875,-177.1875
-49.125,177.8125
-59.5625,-170.75
-69.875,-146
-79.375,-113.6875
-88.1875,-75.375
-97.1875,-44.8125
-107.25,-29.25
-114.4375,-25.5
-114.25,-29.3125
-115,-42
-115,-60.375
-115,-78.5
-115,-96.0625
-114.9375,-111.8125
-114.9375,-125.8125
-115,-138.125
-115.125,-150.5
-115.25,-163.25
-115.5,-169.1875
-115.6875,-162.9375
-115.75,-141.4375
-115.8125,-109.25
-115.75,-72.6875
-115.75,-45.3125
-115.6875,-31.5
-115.625,-26.875
-115.5,-28.6875
-115.4375,-36.3125
-115.375,-48.875
-115.3125,-68.0625
-115.25,-89.75
-115.25,-110.625
-115.25,-130.1875
-115.25,-148.25
-115.25,-161.5
-115.1875,-161.75
-115.25,-147.1875
-115.25,-121.6875
-115.3125,-89.0625
-115.375,-56.25
-115.5,-35.75
-115.4375,-26.125
-115.3125,-23.8125
-115.25,-96.875
-115.25,-96.8125
-115.25,-96.5625
-115.25,-96.5
-115.25,-96.5
-115.125,-96.4375
-115.125,-96.4375
-115.125,-96.375
-115.0625,-96.4375
-115,-96.625
-115,-96.5625
-115,-96.5625
-115,-96.75
-114.9375,-96.0625
-114.9375,-95.1875
-115,-95.125
-115,-95
-115,-95.875
-114.9375,-98.5625
-115,-113.125
-115.0625,-134.1875
-115,-150.6875
-115.125,-154
-115.125,-142.4375
-115,-119.5625
-115.0625,-89.375
-115.125,-60.8125
-115.1875,-43.4375
-115.125,-32.6875
-114.9375,-25.875
-114.9375,-23.875
-115,-26.25
-114.75,-30.8125
-114.6875,-40.4375
-114.6875,-54.625
-114.6875,-69.6875
-114.75,-84.0625
-114.8125,-97.4375
-114.75,-110.125
-114.75,-122.0625
-114.75,-130.375
-114.75,-135.125
-114.75,-141.1875
-114.75,-148.4375
-114.875,-155
-114.9375,-160.25
-114.9375,-161.875
-114.9375,-163.3125
-115,-164.8125
-114.8125,-165.9375
-114.75,-167.5625
-114.75,-168.75
-114.9375,-170.1875
-115.0625,-171.0625
-115,-170.875
-115,-170.375
-114.8125,-171.125
-114.625,-170.625
-114.625,-164.9375
-114.5625,-152.375
-114.625,-134.9375
-114.6875,-110.75
-114.75,-81.0625
-114.75,-55.6875
-114.75,-39.125
-114.75,-29.875
-114.75,-25.125
-114.75,-25.625
-114.75,-28.5
-114.75,-30.9375
-114.75,-32.3125
-114.75,-33.125
-114.75,-34.75
-114.6875,-38
-114.6875,-43.625
-114.75,-50.9375
-114.8125,-59.1875
-114.8125,-69.8125
-114.8125,-82.6875
-114.9375,-95.3125
-114.9375,-105
-114.9375,-110.0625
-114.9375,-112.1875
-114.9375,-114.375
-114.9375,-117.875
-114.75,-120.625
-114.6875,-123.375
-114.75,-122
-114.9375,-115.75
-115,-104.5
-115,-87.625
-114.9375,-69.6875
-114.9375,-60.3125
-114.9375,-60
-114.875,-60
-114.8125,-60.9375
-114.6875,-63.0625
-114.6875,-64.25
-114.8125,-61.4375
